CREATE TABLE Puzzle (_id INTEGER PRIMARY KEY,  difficulty VARCHAR(10), number INTEGER, pattern VARCHAR(82), time VARCHAR(10));
CREATE TABLE Current(_id INTEGER PRIMARY KEY, time VARCHAR(10), difficulty VARCHAR(10), userEntered VARCHAR(82));
CREATE TABLE Weekly(_id INTEGER PRIMARY KEY, date VARCHAR(10), place LONG);
CREATE TABLE User(_id INTEGER PRIMARY KEY);
INSERT INTO Puzzle values('1', 'easy', '1', '012604830700800052806003000280065000030000020000380046000900105950008007068507290', '0');
INSERT INTO Puzzle values('2', 'easy', '2', '800250000075003802932800005050001080029080450040700010200008671301400520000012009', '0');
INSERT INTO Puzzle values('3', 'easy', '3', '080296350426053008090800000050700006000469000200008040000007080900380765071625030', '0');
INSERT INTO Puzzle values('4', 'easy', '4', '080750109301000004005013008804135090000070000030842701400590300900000805507028040', '0');
INSERT INTO Puzzle values('5', 'easy', '5', '029050076000010300030906002085170600040285010001034580700801040008020000490060830', '0');
INSERT INTO Puzzle values('6', 'easy', '6', '020008100108530270300720800070100068900080007850009030002015004089047601007200080', '0');
INSERT INTO Puzzle values('7', 'easy', '7', '700381600050000003600002104100043090095726430020150008509200006300000080007638005', '0');
INSERT INTO Puzzle values('8', 'easy', '8', '021709000030200197009800000280090003056382470900060052000003700795008040000504920', '0');
INSERT INTO Puzzle values('9', 'easy', '9', '004670080090185000087004010031000809065090170809000630050800490000429060040051300', '0');
INSERT INTO Puzzle values('10', 'easy', '10', '030001000070250004008309261360010870005090400094030026823105900500027030000900050', '0');
INSERT INTO Puzzle values('11', 'easy', '11', '080000120705621048600038700100002000037090560000300004006910005570863401018000070', '0');
INSERT INTO Puzzle values('12', 'easy', '12', '008100000015003987703005004080006009950872043300400060100700605862500790000001400', '0');
INSERT INTO Puzzle values('13', 'easy', '13', '314080050750310086008070004000102000031060590000508000100040600260051049080020175', '0');
INSERT INTO Puzzle values('14', 'easy', '14', '006300015050000009218590074630070000509060208000030067960021583300000090820003700', '0');
INSERT INTO Puzzle values('15', 'easy', '15', '000007308400915270602030195006700000800040009000009700259070801084253007703100000', '0');
INSERT INTO Puzzle values('16', 'easy', '16', '000160784027930510000500900740001200900000001001300049002003000075086190164059000', '0');
INSERT INTO Puzzle values('17', 'easy', '17', '670000400200364800005791020960007500007010900001500073090486700006923008008000069', '0');
INSERT INTO Puzzle values('18', 'easy', '18', '803120000645700018019008000502670800000080000008051403000200780920003645000097102', '0');
INSERT INTO Puzzle values('19', 'easy', '19', '000950800803006000029043007048000900356179248002000310200690580000400702004025000', '0');
INSERT INTO Puzzle values('20', 'easy', '20', '460700008010020074000004010200058136051060920693210005020100000780090050100005063', '0');
INSERT INTO Puzzle values('21', 'easy', '21', '014073060005409300009010005043820006900000002500061830200050900001307600090640510', '0');
INSERT INTO Puzzle values('22', 'easy', '22', '203000040001004005090710063100279504000845000405163002650021090900300400040000208', '0');
INSERT INTO Puzzle values('23', 'easy', '23', '409067050730080060000009704108700002603000107900001305206900000090010026080240509', '0');
INSERT INTO Puzzle values('24', 'easy', '24', '609170030840002100023504080000900040018000790090003000080307960001800074070019803', '0');
INSERT INTO Puzzle values('25', 'easy', '25', '250040301700580000040109000010950003306412709900076010000805030000094008608030045', '0');
INSERT INTO Puzzle values('26', 'easy', '26', '408020090200070003009400080060507324780090056352601070040008600100050002020060507', '0');
INSERT INTO Puzzle values('27', 'easy', '27', '009520007035900006270410300000130602060000030803049000002094065500001920700065100', '0');
INSERT INTO Puzzle values('28', 'easy', '28', '050490320639802104002007005070000200060070010001000050500300700103706549048029030', '0');
INSERT INTO Puzzle values('29', 'easy', '29', '500000000362700590400025063090003004204908307600400080940580002073009456000000009', '0');
